image_name,class_name,image_size
00000000.jpg,Alaxan,300x300
00000001.jpg,Alaxan,300x300
00000002.jpg,Alaxan,300x300
00000003.jpg,Alaxan,300x300
00000004.jpg,Alaxan,300x300
00000005.jpg,Alaxan,300x300
00000006.jpg,Alaxan,300x300
00000007.jpg,Alaxan,300x300
00000008.jpg,Alaxan,300x300
00000009.jpg,Alaxan,300x300
00000010.jpg,Alaxan,300x300
00000011.jpg,Alaxan,300x300
00000012.jpg,Alaxan,300x300
00000013.jpg,Alaxan,300x300
00000014.jpg,Alaxan,300x300
00000015.jpg,Alaxan,300x300
00000016.jpg,Alaxan,300x300
00000017.jpg,Alaxan,300x300
00000018.jpg,Alaxan,300x300
00000019.jpg,Alaxan,300x300
00000020.jpg,Alaxan,300x300
00000021.jpg,Alaxan,300x300
00000022.jpg,Alaxan,300x300
00000023.jpg,Alaxan,300x300
00000024.jpg,Alaxan,300x300
00000025.jpg,Alaxan,300x300
00000026.jpg,Alaxan,300x300
00000027.jpg,Alaxan,300x300
00000028.jpg,Alaxan,300x300
00000029.jpg,Alaxan,300x300
00000030.jpg,Alaxan,300x300
00000031.jpg,Alaxan,300x300
00000032.jpg,Alaxan,300x300
00000033.jpg,Alaxan,300x300
00000034.jpg,Alaxan,300x300
00000035.jpg,Alaxan,300x300
00000036.jpg,Alaxan,300x300
00000037.jpg,Alaxan,300x300
00000038.jpg,Alaxan,300x300
00000039.jpg,Alaxan,300x300
00000040.jpg,Alaxan,300x300
00000041.jpg,Alaxan,300x300
00000042.jpg,Alaxan,300x300
00000043.jpg,Alaxan,300x300
00000044.jpg,Alaxan,300x300
00000045.jpg,Alaxan,300x300
00000046.jpg,Alaxan,300x300
00000047.jpg,Alaxan,300x300
00000048.jpg,Alaxan,300x300
00000049.jpg,Alaxan,300x300
00000050.jpg,Alaxan,300x300
00000051.jpg,Alaxan,300x300
00000052.jpg,Alaxan,300x300
00000053.jpg,Alaxan,300x300
00000054.jpg,Alaxan,300x300
00000055.jpg,Alaxan,300x300
00000056.jpg,Alaxan,300x300
